feature,windows_with_signal,dominant_sign_count,sign_stability,avg_abs_spearman,avg_spearman,2004_2010_n,2004_2010_spearman,2011_2016_n,2011_2016_spearman,2017_2021_n,2017_2021_spearman,2022_present_n,2022_present_spearman
dfii10_value,4,4,1,0.290406,0.290406,1756,0.219972,1508,0.466827,1258,0.084305,1093,0.390522
payems_value_change_3m,4,4,1,0.277663,-0.277663,1693,-0.03646,1508,-0.260905,1258,-0.397109,1093,-0.416178
t10yie_value,4,4,1,0.195923,-0.195923,1756,-0.254621,1508,-0.105614,1258,-0.2673,1093,-0.156158
fedfunds_value_change_3m,4,4,1,0.187597,-0.187597,1693,-0.010519,1508,-0.082801,1258,-0.330677,1093,-0.326392
tnx_return_3m,4,4,1,0.162167,-0.162167,1693,-0.136088,1508,-0.057024,1258,-0.2004,1093,-0.255156
tnx_close_change_3m,4,4,1,0.156781,-0.156781,1693,-0.144021,1508,-0.066315,1258,-0.185713,1093,-0.231076
wti_crude_oil_return_3m,4,4,1,0.153337,-0.153337,1693,-0.046081,1508,-0.074347,1258,-0.220408,1093,-0.272513
fedfunds_value_change_1m,4,4,1,0.144441,-0.144441,1735,-0.038432,1508,-0.045873,1258,-0.119132,1093,-0.374327
t10yie_value_change_3m,4,4,1,0.13809,-0.13809,1693,-0.28015,1508,-0.036918,1258,-0.227233,1093,-0.00806
rrpontsyd_value,4,4,1,0.129085,-0.129085,1755,-0.126537,1508,-0.091662,1258,-0.023548,1093,-0.274592
t10yie_value_change_1m,4,4,1,0.118153,-0.118153,1735,-0.218598,1508,-0.010216,1258,-0.181197,1093,-0.062599
wti_crude_oil_return_1m,4,4,1,0.112788,-0.112788,1735,-0.076747,1508,-0.071736,1258,-0.206119,1093,-0.096552
tnx_return_1m,4,4,1,0.107565,-0.107565,1735,-0.142229,1508,-0.031583,1258,-0.127521,1093,-0.128927
fedfunds_value,4,4,1,0.101632,0.101632,1756,0.021288,1508,0.029068,1258,0.081536,1093,0.274637
tnx_close_change_1m,4,4,1,0.096398,-0.096398,1735,-0.138626,1508,-0.025714,1258,-0.10095,1093,-0.120304
pcepi_value_change_3m,4,3,0.75,0.23449,-0.199147,1693,-0.265067,1508,0.070688,1258,-0.204657,1093,-0.39755
cpiaucsl_value_change_3m,4,3,0.75,0.229764,-0.181262,1693,-0.273164,1508,0.097003,1258,-0.190953,1093,-0.357935
silver_futures_return_3m,4,3,0.75,0.182258,-0.087291,1693,-0.114295,1508,-0.129489,1258,-0.295315,1093,0.189934
payems_value_change_1m,4,3,0.75,0.164798,-0.164106,1735,0.001384,1508,-0.184359,1258,-0.081403,1093,-0.392046
cpiaucsl_value_change_1m,4,3,0.75,0.159438,-0.09028,1735,-0.226826,1508,0.138316,1258,-0.172614,1093,-0.099996
pcepi_value_change_1m,4,3,0.75,0.156644,-0.107334,1735,-0.195452,1508,0.09862,1258,-0.176738,1093,-0.155766
t10y2y_value_change_3m,4,3,0.75,0.155095,0.115151,1693,0.095537,1508,-0.079888,1258,0.203628,1093,0.241329
copper_futures_return_3m,4,3,0.75,0.147983,-0.092609,1693,-0.105982,1508,-0.170424,1258,-0.204778,1093,0.110749
m2sl_value_change_1m,4,3,0.75,0.136272,0.108261,1735,-0.056023,1508,0.212334,1258,0.117993,1093,0.158739
rrpontsyd_value_change_3m,4,3,0.75,0.136176,-0.098473,1692,-0.056396,1508,-0.042353,1258,0.075406,1093,-0.37055
silver_futures_return_1m,4,3,0.75,0.131098,-0.087894,1735,-0.12783,1508,-0.114749,1258,-0.195406,1093,0.086407
pcepi_value,4,3,0.75,0.123172,0.062345,1756,0.04122,1508,-0.121654,1258,0.018742,1093,0.311071
cpiaucsl_value,4,3,0.75,0.115808,0.053193,1756,0.015649,1508,-0.125229,1258,0.01205,1093,0.310303
dxy_close_change_3m,4,3,0.75,0.110384,0.066414,1693,0.089145,1508,0.001257,1258,0.263195,1093,-0.087941
dfii10_value_change_3m,4,3,0.75,0.096003,-0.062781,1693,0.066444,1508,-0.029317,1258,-0.034302,1093,-0.253951
central_bank_gold_reserves_top15_tonnes_change_1m,4,3,0.75,0.093555,0.084114,1735,0.030962,1508,-0.018883,1258,0.305094,1093,0.019282
m2sl_value_change_3m,4,3,0.75,0.093064,0.054541,1693,-0.077046,1508,0.128658,1258,0.067368,1093,0.099185
rrpontsyd_value_change_1m,4,3,0.75,0.086879,-0.083784,1734,-0.055332,1508,-0.09006,1258,0.006189,1093,-0.195934
vix_close_change_3m,4,3,0.75,0.086497,0.006851,1693,0.027546,1508,0.021493,1258,0.137656,1093,-0.159293
vix_return_3m,4,3,0.75,0.082672,-0.000128,1693,0.031015,1508,0.030945,1258,0.103128,1093,-0.165601
gold_drawdown_from_252d_high,4,3,0.75,0.081791,0.033747,1756,0.049666,1508,-0.096088,1258,0.015782,1093,0.165628
iau_return_3m,4,3,0.75,0.07696,-0.04882,1426,-0.098237,1508,-0.084098,1258,-0.069224,1093,0.056279
iau_return_1m,4,3,0.75,0.076404,-0.061583,1468,-0.121004,1508,-0.104892,1258,-0.050078,1093,0.029643
gold_futures_return_1m,4,3,0.75,0.072866,-0.05897,1735,-0.096644,1508,-0.108554,1258,-0.058474,1093,0.027791
copper_futures_return_1m,4,3,0.75,0.072158,-0.035354,1735,-0.118596,1508,-0.026048,1258,-0.070381,1093,0.073607
gld_return_1m,4,3,0.75,0.070572,-0.055861,1514,-0.098411,1508,-0.105175,1258,-0.04928,1093,0.029421
gold_futures_return_3m,4,3,0.75,0.069535,-0.040086,1693,-0.060136,1508,-0.084536,1258,-0.074571,1093,0.058898
gld_return_3m,4,3,0.75,0.06885,-0.040953,1472,-0.06635,1508,-0.084016,1258,-0.069241,1093,0.055793
days_to_next_fomc,4,3,0.75,0.065856,0.042896,1756,0.000881,1508,0.089428,1258,0.127195,1093,-0.045922
days_since_last_fomc,4,3,0.75,0.064485,-0.053463,1748,0.022044,1508,-0.093095,1258,-0.101966,1093,-0.040836
vix_percentile_1y,4,3,0.75,0.063634,-0.000719,1505,0.034878,1508,0.08358,1258,0.007372,1093,-0.128707
dxy_close_change_1m,4,3,0.75,0.061561,0.038885,1735,0.056951,1508,0.020094,1258,0.123847,1093,-0.045353
dxy_return_1m,4,3,0.75,0.060473,0.036378,1735,0.053346,1508,0.014826,1258,0.12553,1093,-0.04819
vix_close_change_1m,4,3,0.75,0.041735,0.035989,1735,-0.011492,1508,0.010411,1258,0.059273,1093,0.085763
vix_return_1m,4,3,0.75,0.040622,0.035226,1735,-0.010792,1508,0.003278,1258,0.059924,1093,0.088494
nasdaq_return_3m,4,2,0.5,0.190745,0.063015,1693,0.102481,1508,-0.181682,1258,-0.073779,1093,0.405038
payems_value,4,2,0.5,0.176937,0.116061,1756,-0.018643,1508,-0.10311,1258,0.27111,1093,0.314887
central_bank_gold_reserves_top15_change_3m,4,2,0.5,0.171634,0.121981,1693,-0.008016,1508,-0.09129,1258,0.3856,1093,0.201631
central_bank_gold_reserves_top15_tonnes_change_3m,4,2,0.5,0.171634,0.121981,1693,-0.008016,1508,-0.09129,1258,0.3856,1093,0.201631
central_bank_gold_reserves_top15_tonnes,4,2,0.5,0.144571,0.063503,1756,-0.063599,1508,-0.098536,1258,0.037395,1093,0.378753
