feature,rows,valid_rows,missing_rows,missing_rate,mean,median,std,min,max
gold_futures_return_1m,5678,5657,21,0.003698,0.009776,0.007008,0.049613,-0.208081,0.229659
gold_futures_return_3m,5678,5615,63,0.011095,0.029884,0.026471,0.082538,-0.240406,0.371826
gold_drawdown_from_252d_high,5678,5678,0,0,-0.076824,-0.062961,0.064198,-0.324787,0
dxy_return_1m,5678,5657,21,0.003698,0.000797,0.000503,0.021598,-0.091003,0.129695
dxy_return_3m,5678,5615,63,0.011095,0.002285,0.001224,0.03823,-0.118209,0.189814
dfii10_value,5678,5678,0,0,0.952425,0.91,1.003942,-1.19,3.15
tnx_return_1m,5678,5657,21,0.003698,0.005527,-0.000675,0.099444,-0.696472,0.47495
t10yie_value,5678,5678,0,0,2.11376,2.23,0.396052,0.04,3.02
vix_percentile_1y,5678,5427,251,0.044206,0.463783,0.448413,0.316723,0.003968,1
sp500_return_1m,5678,5657,21,0.003698,0.008113,0.013421,0.045154,-0.329668,0.251144
nasdaq_return_1m,5678,5657,21,0.003698,0.010854,0.016588,0.054357,-0.310277,0.247986
silver_futures_return_1m,5678,5657,21,0.003698,0.012847,0.006526,0.096189,-0.352766,0.632688
copper_futures_return_1m,5678,5657,21,0.003698,0.009674,0.008175,0.078823,-0.467493,0.465746
wti_crude_oil_return_1m,5678,5657,21,0.003698,0.009525,0.01039,0.130882,-2.49207,2.345654
fedfunds_value,5678,5678,0,0,1.834038,1.01,1.925889,0.05,5.33
rrpontsyd_value,5678,5677,1,0.000176,244.00568,4.102,562.468784,0,2553.716
central_bank_gold_reserves_top15_change_3m,5678,5615,63,0.011095,47.06603,42.957841,110.622261,-194.341557,731.506998
days_to_next_fomc,5678,5678,0,0,38.503698,35,26.757674,0,110
days_since_last_fomc,5678,5670,8,0.001409,38.965608,35,26.844777,0,110
sp500_return_3m,5678,5615,63,0.011095,0.024245,0.034093,0.073854,-0.417706,0.393519
nasdaq_return_3m,5678,5615,63,0.011095,0.033298,0.041313,0.092072,-0.454957,0.465816
vix_return_1m,5678,5657,21,0.003698,0.032731,-0.018234,0.31027,-0.570419,4.843817
vix_return_3m,5678,5615,63,0.011095,0.06277,-0.041185,0.4513,-0.695395,5.297364
wti_crude_oil_return_3m,5678,5615,63,0.011095,0.031788,0.028634,0.218192,-2.084507,3.191808
silver_futures_return_3m,5678,5615,63,0.011095,0.038726,0.02078,0.169775,-0.495466,1.429256
copper_futures_return_3m,5678,5615,63,0.011095,0.029308,0.018427,0.146142,-0.603402,0.87573
tnx_return_3m,5678,5615,63,0.011095,0.01895,0.0028,0.187696,-0.722315,0.882609
gld_return_1m,5678,5436,242,0.042621,0.009517,0.006326,0.050007,-0.213723,0.244104
gld_return_3m,5678,5394,284,0.050018,0.029371,0.025261,0.083553,-0.249336,0.360942
iau_return_1m,5678,5390,288,0.050722,0.00988,0.006735,0.050147,-0.215529,0.244578
iau_return_3m,5678,5348,330,0.058119,0.029995,0.026397,0.083799,-0.249356,0.361711
gdpc1_value,5678,5678,0,0,19117.683749,18782.243,2612.241132,15248.68,24270.599
cpiaucsl_value,5678,5678,0,0,245.902294,237.46,39.045294,186.3,333.979
pcepi_value,5678,5678,0,0,100.125756,97.391,13.721143,78.909,131.535
payems_value,5678,5678,0,0,142541.340789,140364,9189.150129,129706,158881
m2sl_value,5678,5678,0,0,13219.089486,11953.4,5489.696775,6081.3,23155.2
t10y2y_value,5678,5678,0,0,1.001506,0.91,0.941519,-1.08,2.91
central_bank_gold_reserves_top15_tonnes,5678,5678,0,0,23973.886901,23378.703632,1844.768813,21383.388863,26878.769834
dfii10_value_change_1m,5678,5657,21,0.003698,0.001929,-0.01,0.220977,-1.12,1.35
dfii10_value_change_3m,5678,5615,63,0.011095,0.006249,-0.01,0.370639,-1.42,1.58
fedfunds_value_change_1m,5678,5657,21,0.003698,0.00976,0,0.171856,-1.33,1.12
fedfunds_value_change_3m,5678,5615,63,0.011095,0.029475,0,0.444015,-1.96,2
tnx_close_change_1m,5678,5657,21,0.003698,0.001924,-0.002,0.249292,-1.494,0.929
tnx_close_change_3m,5678,5615,63,0.011095,0.006195,0.008,0.437331,-1.81,1.447
dxy_close_change_1m,5678,5657,21,0.003698,0.052646,0.040001,1.92344,-7.900002,9.980003
dxy_close_change_3m,5678,5615,63,0.011095,0.145834,0.110001,3.401385,-11.07,13.790001
vix_close_change_1m,5678,5657,21,0.003698,0.003624,-0.29,6.030673,-41.850002,68.540003
vix_close_change_3m,5678,5615,63,0.011095,0.007539,-0.63,8.312081,-48.290001,68.750003
t10y2y_value_change_1m,5678,5657,21,0.003698,-0.007338,-0.02,0.169578,-0.99,0.81
t10y2y_value_change_3m,5678,5615,63,0.011095,-0.021523,-0.05,0.31421,-1.16,1.2
t10yie_value_change_1m,5678,5657,21,0.003698,-0.000058,0,0.16258,-1.15,1.05
t10yie_value_change_3m,5678,5615,63,0.011095,-0.000191,0.02,0.296928,-2.14,1.31
cpiaucsl_value_change_1m,5678,5657,21,0.003698,0.542837,0.535,0.797697,-5.597,5.131
cpiaucsl_value_change_3m,5678,5615,63,0.011095,1.639615,1.587,1.824943,-7.479,8.755
pcepi_value_change_1m,5678,5657,21,0.003698,0.194769,0.18,0.238692,-1.553,1.664
pcepi_value_change_3m,5678,5615,63,0.011095,0.587301,0.549,0.567758,-2.149,2.969
rrpontsyd_value_change_1m,5678,5656,22,0.003875,-0.004615,0,76.449785,-515.454,543.954
rrpontsyd_value_change_3m,5678,5614,64,0.011272,0.010909,0,162.161628,-907.191,862.234
payems_value_change_1m,5678,5657,21,0.003698,104.297684,163,1327.223073,-20469,7245
payems_value_change_3m,5678,5615,63,0.011095,313.369902,533,2206.583912,-21605,8829
m2sl_value_change_1m,5678,5657,21,0.003698,63.368057,48.6,105.644084,-331.7,1116
m2sl_value_change_3m,5678,5615,63,0.011095,190.837631,147.2,270.946084,-534.8,2506.9
central_bank_gold_reserves_top15_tonnes_change_1m,5678,5657,21,0.003698,15.484911,8.981808,56.593933,-114.912603,638.369669
central_bank_gold_reserves_top15_tonnes_change_3m,5678,5615,63,0.011095,47.06603,42.957841,110.622261,-194.341557,731.506998
