feature,bucket,bucket_label,n,feature_min,feature_max,feature_median,avg_gold_return_next_1m,avg_gold_return_next_3m,median_gold_return_next_3m,avg_gold_max_drawdown_next_3m,good_entry_rate_3m,bad_entry_rate_3m
gold_futures_return_1m,1,lowest,1131,-0.208081,-0.028217,-0.048369,0.013905,0.02445,0.019466,-0.04802,0.338828,0.25641
gold_futures_return_1m,2,q2,1131,-0.028149,-0.00377,-0.014983,0.006976,0.029941,0.026916,-0.043036,0.396057,0.2458
gold_futures_return_1m,3,q3,1132,-0.003766,0.020167,0.007001,0.009908,0.038516,0.034898,-0.041415,0.420586,0.20318
gold_futures_return_1m,4,q4,1131,0.02017,0.049619,0.033368,0.015437,0.035987,0.032011,-0.037277,0.399469,0.152962
gold_futures_return_1m,5,highest,1132,0.049652,0.229659,0.070224,0.003307,0.021494,0.014761,-0.055505,0.346903,0.30504
gold_futures_return_3m,1,lowest,1123,-0.240406,-0.039053,-0.06943,0.005698,0.017618,0.018986,-0.053822,0.319811,0.307487
gold_futures_return_3m,2,q2,1123,-0.038934,0.004985,-0.017218,0.008575,0.029817,0.028598,-0.044395,0.381122,0.265361
gold_futures_return_3m,3,q3,1123,0.00517,0.046389,0.026471,0.012762,0.037072,0.035049,-0.037368,0.429207,0.174533
gold_futures_return_3m,4,q4,1123,0.046391,0.094638,0.068172,0.013254,0.028391,0.023419,-0.040381,0.394479,0.159394
gold_futures_return_3m,5,highest,1123,0.094642,0.371826,0.139232,0.009587,0.039768,0.030683,-0.048101,0.389136,0.24488
gold_drawdown_from_252d_high,1,lowest,1135,-0.324787,-0.124203,-0.163374,0.016785,0.031782,0.029927,-0.046089,0.391264,0.241623
gold_drawdown_from_252d_high,2,q2,1136,-0.124161,-0.081418,-0.102412,-0.000559,-0.001827,0.000887,-0.056641,0.214664,0.375
gold_drawdown_from_252d_high,3,q3,1135,-0.081404,-0.047686,-0.062983,0.001917,0.024448,0.019893,-0.046824,0.339207,0.234361
gold_drawdown_from_252d_high,4,q4,1136,-0.047661,-0.019249,-0.033692,0.01066,0.04653,0.03346,-0.037125,0.441021,0.154049
gold_drawdown_from_252d_high,5,highest,1136,-0.019239,0,-0.004587,0.020204,0.048469,0.05159,-0.038757,0.509683,0.160211
dxy_return_1m,1,lowest,1131,-0.091003,-0.016084,-0.025129,0.009314,0.030258,0.027351,-0.044086,0.380195,0.221927
dxy_return_1m,2,q2,1131,-0.016077,-0.004582,-0.010225,0.012084,0.025754,0.022325,-0.044375,0.387701,0.245133
dxy_return_1m,3,q3,1132,-0.004577,0.005713,0.000502,0.010436,0.030578,0.025731,-0.043962,0.380697,0.223498
dxy_return_1m,4,q4,1131,0.005714,0.017537,0.011094,0.008486,0.033919,0.033267,-0.045003,0.401089,0.229885
dxy_return_1m,5,highest,1132,0.017564,0.129695,0.027764,0.009225,0.030114,0.022874,-0.047823,0.353571,0.242933
dxy_return_3m,1,lowest,1123,-0.118209,-0.028761,-0.046098,0.008239,0.031128,0.026378,-0.040806,0.387355,0.195013
dxy_return_3m,2,q2,1123,-0.028724,-0.006773,-0.015764,0.012432,0.035375,0.023084,-0.043171,0.39626,0.223508
dxy_return_3m,3,q3,1123,-0.006768,0.009222,0.001224,0.012004,0.02384,0.023458,-0.046403,0.361261,0.221728
dxy_return_3m,4,q4,1123,0.009247,0.030565,0.018116,0.010089,0.028803,0.030847,-0.044612,0.366853,0.244207
dxy_return_3m,5,highest,1123,0.030638,0.189814,0.051956,0.007191,0.034094,0.029905,-0.049066,0.404635,0.267142
dfii10_value,1,lowest,1135,-1.19,0.11,-0.6,-0.004372,-0.011033,-0.021649,-0.064147,0.215859,0.398238
dfii10_value,2,q2,1136,0.11,0.58,0.41,0.003843,0.006491,0.008595,-0.044348,0.224472,0.257923
dfii10_value,3,q3,1135,0.58,1.45,0.91,0.00816,0.030947,0.031517,-0.038972,0.394714,0.177093
dfii10_value,4,q4,1136,1.46,1.93,1.73,0.02178,0.051053,0.050036,-0.040354,0.5,0.170775
dfii10_value,5,highest,1136,1.93,3.15,2.18,0.019636,0.074393,0.06534,-0.037616,0.571295,0.161233
tnx_return_1m,1,lowest,1131,-0.696472,-0.060384,-0.099619,0.014742,0.039741,0.033452,-0.042287,0.412025,0.200707
tnx_return_1m,2,q2,1131,-0.060331,-0.019369,-0.037758,0.010201,0.036141,0.032394,-0.043512,0.425267,0.232538
tnx_return_1m,3,q3,1132,-0.019321,0.019084,-0.00068,0.00933,0.030109,0.029001,-0.043921,0.397125,0.204947
tnx_return_1m,4,q4,1131,0.019249,0.071522,0.041721,0.012268,0.02982,0.026426,-0.045598,0.379562,0.238053
tnx_return_1m,5,highest,1132,0.071526,0.47495,0.121542,0.003037,0.014757,0.015065,-0.04993,0.289381,0.287102
t10yie_value,1,lowest,1135,0.04,1.8,1.58,0.015082,0.040866,0.039755,-0.040936,0.444934,0.192952
t10yie_value,2,q2,1136,1.8,2.14,1.97,0.002463,0.015448,0.015765,-0.043513,0.263204,0.239437
t10yie_value,3,q3,1135,2.14,2.3,2.23,0.010172,0.032769,0.024272,-0.043088,0.410584,0.227513
t10yie_value,4,q4,1136,2.3,2.4,2.34,0.019901,0.049952,0.047555,-0.037547,0.477293,0.163732
t10yie_value,5,highest,1136,2.4,3.02,2.5,0.001273,0.010536,0.002369,-0.060342,0.301333,0.341549
vix_percentile_1y,1,lowest,1085,0.003968,0.123016,0.043651,0.010143,0.025264,0.029825,-0.040686,0.374885,0.168664
vix_percentile_1y,2,q2,1085,0.123016,0.325397,0.218254,0.01245,0.029165,0.03465,-0.043597,0.402999,0.225092
vix_percentile_1y,3,q3,1086,0.325397,0.571429,0.448413,0.009577,0.035262,0.03161,-0.041855,0.403558,0.214549
vix_percentile_1y,4,q4,1085,0.571429,0.797619,0.686508,0.005906,0.025526,0.014624,-0.04951,0.344309,0.281106
vix_percentile_1y,5,highest,1086,0.797619,1,0.920635,0.01241,0.038207,0.027727,-0.050793,0.396122,0.28361
sp500_return_1m,1,lowest,1131,-0.329668,-0.020927,-0.044891,0.015794,0.036834,0.031449,-0.049939,0.403897,0.259063
sp500_return_1m,2,q2,1131,-0.020831,0.00544,-0.005131,0.005184,0.022558,0.012207,-0.048418,0.34296,0.26702
sp500_return_1m,3,q3,1132,0.005447,0.02156,0.013418,0.011016,0.030556,0.03083,-0.042675,0.373548,0.210247
sp500_return_1m,4,q4,1131,0.021561,0.03831,0.029767,0.009784,0.02914,0.031336,-0.042792,0.405165,0.214159
sp500_return_1m,5,highest,1132,0.038318,0.251144,0.052421,0.007729,0.031338,0.026935,-0.04143,0.376682,0.212898
nasdaq_return_1m,1,lowest,1131,-0.310277,-0.029002,-0.056326,0.015566,0.039681,0.032319,-0.048334,0.418231,0.236074
nasdaq_return_1m,2,q2,1131,-0.028929,0.005397,-0.009497,0.006517,0.023807,0.018052,-0.04796,0.340234,0.266136
nasdaq_return_1m,3,q3,1132,0.005469,0.027585,0.016582,0.010296,0.026542,0.027953,-0.044949,0.363393,0.222812
nasdaq_return_1m,4,q4,1131,0.027593,0.050681,0.038975,0.009322,0.031255,0.029349,-0.04146,0.40531,0.207781
nasdaq_return_1m,5,highest,1132,0.050711,0.247986,0.068645,0.007828,0.029212,0.025632,-0.042549,0.375224,0.230565
silver_futures_return_1m,1,lowest,1131,-0.352766,-0.057822,-0.092877,0.013578,0.027586,0.022796,-0.04816,0.365542,0.253758
silver_futures_return_1m,2,q2,1131,-0.057805,-0.013112,-0.033397,0.008496,0.033151,0.028375,-0.041919,0.374555,0.199823
silver_futures_return_1m,3,q3,1132,-0.013087,0.029628,0.006507,0.010755,0.038122,0.036202,-0.041502,0.430742,0.210247
silver_futures_return_1m,4,q4,1131,0.029767,0.082366,0.055299,0.006778,0.02896,0.021877,-0.044876,0.379218,0.238727
silver_futures_return_1m,5,highest,1132,0.08244,0.632688,0.128635,0.009947,0.022739,0.020472,-0.048797,0.352837,0.260831
