feature,high_minus_low_avg_return_3m,high_minus_low_good_entry_rate_3m,high_minus_low_bad_entry_rate_3m,low_bucket_return_3m,high_bucket_return_3m,low_bad_entry_rate_3m,high_bad_entry_rate_3m
dfii10_value,0.085426,0.355436,-0.237005,-0.011033,0.074393,0.398238,0.161233
payems_value_change_3m,-0.06195,-0.307287,0.038963,0.067455,0.005505,0.245098,0.284061
fedfunds_value,0.061355,0.314048,-0.237969,0.008016,0.069371,0.332159,0.09419
payems_value_change_1m,-0.045494,-0.24303,0.017207,0.055495,0.010001,0.261062,0.278269
fedfunds_value_change_3m,-0.037056,-0.202137,-0.030276,0.068149,0.031093,0.232413,0.202137
tnx_close_change_3m,-0.03598,-0.184457,0.095489,0.061704,0.025724,0.138914,0.234403
rrpontsyd_value_change_3m,-0.034947,-0.180431,0.164647,0.050796,0.015849,0.101604,0.266251
fedfunds_value_change_1m,-0.032705,-0.150835,-0.051429,0.065645,0.03294,0.217507,0.166078
t10yie_value,-0.03033,-0.143601,0.148597,0.040866,0.010536,0.192952,0.341549
wti_crude_oil_return_3m,-0.03027,-0.098829,0.101355,0.048745,0.018475,0.179144,0.280499
rrpontsyd_value_change_1m,-0.029962,-0.110027,0.118263,0.045054,0.015092,0.125553,0.243816
tnx_return_3m,-0.028015,-0.127982,0.108638,0.042585,0.01457,0.175423,0.284061
t10yie_value_change_3m,-0.026531,-0.116329,0.056099,0.043175,0.016644,0.214604,0.270703
wti_crude_oil_return_1m,-0.026042,-0.095014,0.040672,0.048232,0.02219,0.215738,0.25641
t10yie_value_change_1m,-0.025656,-0.156845,0.02982,0.041436,0.01578,0.244032,0.273852
t10y2y_value_change_3m,0.025061,0.122334,0.025823,0.018804,0.043865,0.219947,0.24577
tnx_return_1m,-0.024984,-0.122644,0.086395,0.039741,0.014757,0.200707,0.287102
gld_return_3m,0.023558,0.084699,-0.079372,0.015945,0.039503,0.321263,0.241891
iau_return_3m,0.023329,0.080515,-0.07817,0.016341,0.03967,0.321161,0.242991
gold_futures_return_3m,0.02215,0.069325,-0.062607,0.017618,0.039768,0.307487,0.24488
nasdaq_return_3m,0.019907,0.124591,-0.089047,0.025716,0.045623,0.300089,0.211042
m2sl_value_change_3m,-0.019521,-0.118021,0.077471,0.041466,0.021945,0.177204,0.254675
tnx_close_change_1m,-0.019063,-0.094903,0.043989,0.049878,0.030815,0.205128,0.249117
payems_value,0.018858,0.127477,-0.014978,0.041329,0.060187,0.174449,0.159471
t10y2y_value_change_1m,0.016938,0.090672,0.044209,0.017996,0.034934,0.226348,0.270557
gold_drawdown_from_252d_high,0.016687,0.118419,-0.081412,0.031782,0.048469,0.241623,0.160211
sp500_return_3m,0.015856,0.120824,-0.109528,0.028759,0.044615,0.325913,0.216385
days_since_last_fomc,-0.014847,-0.121921,0.119753,0.034339,0.019492,0.200353,0.320106
silver_futures_return_3m,0.014212,0.07863,-0.081313,0.023147,0.037359,0.314617,0.233304
vix_percentile_1y,0.012943,0.021237,0.114946,0.025264,0.038207,0.168664,0.28361
vix_return_1m,0.01229,0.058157,0.023639,0.0212,0.03349,0.240495,0.264134
cpiaucsl_value_change_1m,-0.011679,-0.014451,0.016394,0.038721,0.027042,0.221239,0.237633
vix_close_change_1m,0.011657,0.053784,0.013913,0.023095,0.034752,0.251105,0.265018
nasdaq_return_1m,-0.010469,-0.043007,-0.005509,0.039681,0.029212,0.236074,0.230565
central_bank_gold_reserves_top15_change_3m,-0.00956,-0.027604,-0.0187,0.042876,0.033316,0.203918,0.185218
central_bank_gold_reserves_top15_tonnes_change_3m,-0.00956,-0.027604,-0.0187,0.042876,0.033316,0.203918,0.185218
pcepi_value_change_3m,-0.009367,-0.004372,0.063033,0.038474,0.029107,0.213904,0.276937
dfii10_value_change_3m,-0.008924,-0.056033,0.050963,0.046339,0.037415,0.179875,0.230838
cpiaucsl_value_change_3m,-0.008473,-0.005897,0.043449,0.040977,0.032504,0.206774,0.250223
t10y2y_value,-0.007994,-0.052333,0.09408,0.045181,0.037187,0.12511,0.21919
rrpontsyd_value,0.007326,-0.009479,-0.124585,0.026849,0.034175,0.26455,0.139965
m2sl_value,0.007276,0.063411,-0.023788,0.044861,0.052137,0.202643,0.178855
copper_futures_return_3m,-0.006397,-0.01258,0.011577,0.044389,0.037992,0.225289,0.236866
days_to_next_fomc,-0.006395,0.034304,-0.038071,0.035154,0.028759,0.248458,0.210387
pcepi_value_change_1m,-0.005666,0.025684,0.015454,0.031342,0.025676,0.253097,0.268551
sp500_return_1m,-0.005496,-0.027215,-0.046165,0.036834,0.031338,0.259063,0.212898
vix_return_3m,0.00547,-0.048535,0.010686,0.029979,0.035449,0.247551,0.258237
m2sl_value_change_1m,0.005043,0.040335,0.059748,0.032655,0.037698,0.182301,0.242049
gdpc1_value,0.004875,0.041827,-0.035242,0.053459,0.058334,0.185903,0.150661
silver_futures_return_1m,-0.004847,-0.012705,0.007073,0.027586,0.022739,0.253758,0.260831
vix_close_change_3m,0.004598,-0.021868,0.016029,0.031485,0.036083,0.249332,0.265361
dxy_close_change_3m,0.004465,0.016966,0.070347,0.031737,0.036202,0.186109,0.256456
central_bank_gold_reserves_top15_tonnes,-0.004173,-0.029202,-0.087225,0.058256,0.054083,0.257269,0.170044
copper_futures_return_1m,-0.00399,-0.037131,-0.023185,0.037842,0.033852,0.2458,0.222615
dxy_return_3m,0.002966,0.01728,0.072129,0.031128,0.034094,0.195013,0.267142
gold_futures_return_1m,-0.002956,0.008075,0.04863,0.02445,0.021494,0.25641,0.30504
dxy_close_change_1m,0.001616,-0.024463,0.018362,0.030754,0.03237,0.21397,0.232332
iau_return_1m,-0.001307,0.007864,0.017893,0.025102,0.023795,0.270872,0.288765
pcepi_value,-0.001167,0.028948,0.028194,0.05325,0.052083,0.150661,0.178855
cpiaucsl_value,-0.000402,0.034234,0.020265,0.052485,0.052083,0.15859,0.178855
dfii10_value_change_1m,0.000163,0.020964,0.021885,0.032692,0.032855,0.226348,0.248233
dxy_return_1m,-0.000144,-0.026624,0.021006,0.030258,0.030114,0.221927,0.242933
central_bank_gold_reserves_top15_tonnes_change_1m,0.000113,0.057965,-0.047899,0.035911,0.036024,0.221927,0.174028
gld_return_1m,-0.000029,0.022631,0.02024,0.024543,0.024514,0.265869,0.286109
