feature,target,n,pearson,spearman,abs_pearson,abs_spearman
dfii10_value,target_gold_return_next_3m,5615,0.355676,0.361093,0.355676,0.361093
payems_value_change_3m,target_gold_return_next_3m,5552,-0.169296,-0.303872,0.169296,0.303872
dfii10_value,target_good_entry_3m,5615,0.273425,0.28399,0.273425,0.28399
payems_value_change_3m,target_good_entry_3m,5552,-0.165643,-0.267355,0.165643,0.267355
fedfunds_value,target_gold_return_next_3m,5615,0.276622,0.256273,0.276622,0.256273
payems_value_change_1m,target_gold_return_next_3m,5594,-0.057385,-0.214294,0.057385,0.214294
dfii10_value,target_gold_max_drawdown_next_3m,5677,0.162927,0.213704,0.162927,0.213704
fedfunds_value,target_good_entry_3m,5615,0.223843,0.211316,0.223843,0.211316
dfii10_value,target_gold_return_next_1m,5657,0.183097,0.201396,0.183097,0.201396
payems_value_change_1m,target_good_entry_3m,5594,-0.057208,-0.192955,0.057208,0.192955
fedfunds_value,target_gold_max_drawdown_next_3m,5677,0.164132,0.188292,0.164132,0.188292
payems_value_change_3m,target_gold_return_next_1m,5594,-0.056627,-0.187856,0.056627,0.187856
dfii10_value,target_bad_entry_3m,5677,-0.169253,-0.178175,0.169253,0.178175
fedfunds_value,target_bad_entry_3m,5677,-0.176665,-0.177965,0.176665,0.177965
t10y2y_value,target_bad_entry_3m,5677,0.144051,0.159888,0.144051,0.159888
payems_value_change_3m,target_gold_max_drawdown_next_3m,5614,-0.051749,-0.158437,0.051749,0.158437
rrpontsyd_value_change_3m,target_gold_return_next_3m,5551,-0.157527,-0.156805,0.157527,0.156805
t10y2y_value,target_gold_return_next_3m,5615,-0.122075,-0.152891,0.122075,0.152891
t10y2y_value,target_gold_max_drawdown_next_3m,5677,-0.14299,-0.152771,0.14299,0.152771
rrpontsyd_value_change_3m,target_gold_max_drawdown_next_3m,5613,-0.087168,-0.147515,0.087168,0.147515
fedfunds_value_change_3m,target_good_entry_3m,5552,-0.089767,-0.141204,0.089767,0.141204
rrpontsyd_value_change_3m,target_bad_entry_3m,5613,0.088032,0.140658,0.088032,0.140658
gold_drawdown_from_252d_high,target_gold_return_next_3m,5615,0.089931,0.14052,0.089931,0.14052
t10yie_value_change_3m,target_gold_return_next_3m,5552,-0.176316,-0.139574,0.176316,0.139574
fedfunds_value_change_3m,target_gold_return_next_3m,5552,-0.115528,-0.139203,0.115528,0.139203
gold_drawdown_from_252d_high,target_bad_entry_3m,5677,-0.111112,-0.136718,0.111112,0.136718
gold_drawdown_from_252d_high,target_good_entry_3m,5615,0.08383,0.133285,0.08383,0.133285
t10y2y_value,target_good_entry_3m,5615,-0.112197,-0.130925,0.112197,0.130925
wti_crude_oil_return_3m,target_gold_return_next_3m,5552,-0.15404,-0.12531,0.15404,0.12531
fedfunds_value,target_gold_return_next_1m,5657,0.141392,0.124838,0.141392,0.124838
rrpontsyd_value_change_3m,target_good_entry_3m,5551,-0.143908,-0.124308,0.143908,0.124308
t10yie_value_change_1m,target_gold_return_next_3m,5594,-0.13435,-0.122825,0.13435,0.122825
t10y2y_value_change_3m,target_good_entry_3m,5552,0.105151,0.121634,0.105151,0.121634
t10y2y_value_change_3m,target_gold_return_next_3m,5552,0.128721,0.121327,0.128721,0.121327
t10yie_value_change_3m,target_gold_return_next_1m,5594,-0.120536,-0.121275,0.120536,0.121275
t10yie_value_change_1m,target_good_entry_3m,5594,-0.126023,-0.118725,0.126023,0.118725
rrpontsyd_value_change_3m,target_gold_return_next_1m,5593,-0.09229,-0.116054,0.09229,0.116054
payems_value_change_1m,target_gold_return_next_1m,5636,-0.011782,-0.115322,0.011782,0.115322
tnx_close_change_3m,target_gold_return_next_3m,5552,-0.119743,-0.114622,0.119743,0.114622
fedfunds_value_change_1m,target_gold_return_next_3m,5594,-0.113042,-0.113298,0.113042,0.113298
tnx_return_3m,target_gold_return_next_3m,5552,-0.13126,-0.11167,0.13126,0.11167
days_since_last_fomc,target_gold_return_next_1m,5649,-0.098065,-0.110633,0.098065,0.110633
rrpontsyd_value_change_1m,target_gold_return_next_3m,5593,-0.119645,-0.110143,0.119645,0.110143
fedfunds_value_change_3m,target_gold_return_next_1m,5594,-0.071592,-0.109205,0.071592,0.109205
t10yie_value_change_3m,target_gold_max_drawdown_next_3m,5614,-0.031026,-0.103496,0.031026,0.103496
t10yie_value_change_3m,target_good_entry_3m,5552,-0.129246,-0.100721,0.129246,0.100721
vix_percentile_1y,target_bad_entry_3m,5426,0.099336,0.100559,0.099336,0.100559
gold_drawdown_from_252d_high,target_gold_max_drawdown_next_3m,5677,0.091126,0.100364,0.091126,0.100364
wti_crude_oil_return_3m,target_bad_entry_3m,5614,0.093654,0.098929,0.093654,0.098929
fedfunds_value_change_1m,target_good_entry_3m,5594,-0.068259,-0.098001,0.068259,0.098001
rrpontsyd_value,target_bad_entry_3m,5676,-0.059798,-0.093584,0.059798,0.093584
rrpontsyd_value_change_1m,target_bad_entry_3m,5655,0.093475,0.093294,0.093475,0.093294
sp500_return_3m,target_bad_entry_3m,5614,-0.09536,-0.092367,0.09536,0.092367
wti_crude_oil_return_1m,target_gold_return_next_3m,5594,-0.104964,-0.092039,0.104964,0.092039
days_since_last_fomc,target_gold_max_drawdown_next_3m,5669,-0.091896,-0.091862,0.091896,0.091862
central_bank_gold_reserves_top15_tonnes,target_gold_max_drawdown_next_3m,5677,0.138052,0.091793,0.138052,0.091793
tnx_close_change_3m,target_good_entry_3m,5552,-0.086458,-0.087903,0.086458,0.087903
wti_crude_oil_return_3m,target_gold_max_drawdown_next_3m,5614,-0.105992,-0.087581,0.105992,0.087581
iau_return_3m,target_bad_entry_3m,5347,-0.049503,-0.087267,0.049503,0.087267
tnx_return_1m,target_gold_return_next_3m,5594,-0.09199,-0.085131,0.09199,0.085131
tnx_return_1m,target_good_entry_3m,5594,-0.087905,-0.085087,0.087905,0.085087
gld_return_3m,target_bad_entry_3m,5393,-0.046848,-0.08492,0.046848,0.08492
wti_crude_oil_return_3m,target_gold_return_next_1m,5594,-0.098981,-0.084458,0.098981,0.084458
central_bank_gold_reserves_top15_tonnes,target_bad_entry_3m,5677,-0.104825,-0.083698,0.104825,0.083698
days_since_last_fomc,target_good_entry_3m,5607,-0.088472,-0.083304,0.088472,0.083304
days_since_last_fomc,target_bad_entry_3m,5669,0.0902,0.081664,0.0902,0.081664
tnx_close_change_1m,target_good_entry_3m,5594,-0.083624,-0.081484,0.083624,0.081484
vix_percentile_1y,target_gold_max_drawdown_next_3m,5426,-0.088934,-0.080878,0.088934,0.080878
tnx_close_change_1m,target_gold_return_next_3m,5594,-0.09016,-0.080753,0.09016,0.080753
tnx_return_3m,target_good_entry_3m,5552,-0.096926,-0.080094,0.096926,0.080094
tnx_return_3m,target_bad_entry_3m,5614,0.074925,0.080091,0.074925,0.080091
payems_value_change_3m,target_bad_entry_3m,5614,0.049017,0.079948,0.049017,0.079948
t10yie_value_change_3m,target_bad_entry_3m,5614,0.038909,0.079653,0.038909,0.079653
wti_crude_oil_return_3m,target_good_entry_3m,5552,-0.085974,-0.078739,0.085974,0.078739
days_since_last_fomc,target_gold_return_next_3m,5607,-0.062461,-0.077227,0.062461,0.077227
t10yie_value,target_bad_entry_3m,5677,0.066553,0.076861,0.066553,0.076861
payems_value,target_gold_max_drawdown_next_3m,5677,0.108357,0.076432,0.108357,0.076432
days_to_next_fomc,target_gold_return_next_1m,5657,0.06933,0.075268,0.06933,0.075268
sp500_return_3m,target_good_entry_3m,5552,0.037367,0.075076,0.037367,0.075076
rrpontsyd_value_change_1m,target_gold_max_drawdown_next_3m,5655,-0.066238,-0.074291,0.066238,0.074291
nasdaq_return_3m,target_good_entry_3m,5552,0.049711,0.074189,0.049711,0.074189
tnx_close_change_3m,target_gold_return_next_1m,5594,-0.087124,-0.073641,0.087124,0.073641
gold_futures_return_3m,target_bad_entry_3m,5614,-0.036446,-0.073502,0.036446,0.073502
tnx_close_change_3m,target_bad_entry_3m,5614,0.057953,0.072194,0.057953,0.072194
t10y2y_value_change_3m,target_gold_return_next_1m,5594,0.05034,0.070702,0.05034,0.070702
tnx_return_3m,target_gold_return_next_1m,5594,-0.077434,-0.070373,0.077434,0.070373
tnx_return_1m,target_gold_return_next_1m,5636,-0.089172,-0.069912,0.089172,0.069912
rrpontsyd_value_change_1m,target_good_entry_3m,5593,-0.077156,-0.06965,0.077156,0.06965
tnx_return_3m,target_gold_max_drawdown_next_3m,5614,-0.065834,-0.069289,0.065834,0.069289
sp500_return_3m,target_gold_return_next_3m,5552,0.003083,0.068391,0.003083,0.068391
tnx_close_change_3m,target_gold_max_drawdown_next_3m,5614,-0.062057,-0.068113,0.062057,0.068113
rrpontsyd_value,target_gold_max_drawdown_next_3m,5676,0.050998,0.067961,0.050998,0.067961
sp500_return_3m,target_gold_max_drawdown_next_3m,5614,0.104843,0.067633,0.104843,0.067633
tnx_return_1m,target_gold_max_drawdown_next_3m,5656,-0.047222,-0.067189,0.047222,0.067189
gld_return_3m,target_gold_return_next_3m,5331,0.053627,0.065437,0.053627,0.065437
t10yie_value,target_gold_max_drawdown_next_3m,5677,-0.091172,-0.064979,0.091172,0.064979
wti_crude_oil_return_1m,target_good_entry_3m,5594,-0.061849,-0.064578,0.061849,0.064578
payems_value_change_1m,target_gold_max_drawdown_next_3m,5656,-0.012078,-0.064362,0.012078,0.064362
m2sl_value_change_3m,target_gold_return_next_3m,5552,0.044302,-0.063748,0.044302,0.063748
iau_return_3m,target_gold_return_next_3m,5285,0.051799,0.062244,0.051799,0.062244
t10y2y_value_change_1m,target_gold_return_next_3m,5594,0.054002,0.061974,0.054002,0.061974
payems_value,target_bad_entry_3m,5677,-0.092355,-0.061911,0.092355,0.061911
gdpc1_value,target_gold_max_drawdown_next_3m,5677,0.097247,0.061825,0.097247,0.061825
